playerId,name,position,team,birthDate,weight,height,nationality,shootsCatches,primaryNumber,primaryPosition
8474604,Aaron Ness,D,ARI,5/18/1990,184,70,USA,L,55,D
8478996,Adam Brooks,C,WPG,5/6/1996,185,70,CAN,L,77,C
8482197,Adam Raska,R,SJS,9/25/2001,178,70,CZE,R,57,R
8480037,Aleksi Heponiemi,C,FLA,1/9/1999,155,70,FIN,L,20,C
8478839,Aleksi Saarela,C,FLA,1/7/1997,200,70,FIN,L,15,C
8479718,Alex Barre-Boulet,C,TBL,5/21/1997,180,70,CAN,L,60,C
8473415,Alex Biega,D,TOR,4/4/1988,199,70,CAN,R,55,D
8476435,Alex Khokhlachev,C,BOS,9/9/1993,181,70,RUS,L,76,C
8481618,Alex Newhook,C,COL,1/28/2001,190,70,CAN,L,18,C
8482222,Alexander Barabanov,L,SJS,6/17/1994,192,70,RUS,L,94,L
8477021,Alexander Kerfoot,C,TOR,8/11/1994,175,70,CAN,L,13,C
8477341,Andreas Johnsson,L,NJD,11/21/1994,181,70,SWE,L,18,L
8475461,Andrew Agozzino,L,OTT,1/3/1991,187,70,CAN,L,26,L
8471699,Andrew Cogliano,C,COL,6/14/1987,177,70,CAN,L,7,L
8470838,Andrew Joudrey,C,CBJ,7/15/1984,185,70,CAN,L,29,C
8478233,Andrew Mangiapane,L,CGY,4/4/1996,184,70,CAN,L,88,L
8477249,Andrew Miller,C,EDM,9/18/1988,181,70,USA,R,72,C
8468517,Andy Hilbert,L,MIN,2/6/1981,188,70,USA,L,11,L
8468434,Andy McDonald,L,STL,8/25/1977,175,70,CAN,L,10,L
8479447,Anthony Greco,R,NYR,9/30/1993,176,70,USA,R,76,R
8478409,Anthony Richard,C,NSH,12/20/1996,163,70,CAN,L,90,C
8476769,Bobby Farnham,R,MTL,1/21/1989,190,70,USA,L,44,R
8478010,Brayden Point,C,TBL,3/13/1996,166,70,CAN,R,21,C
8476894,Brendan Leipsic,L,WSH,5/19/1994,179,70,CAN,L,14,L
8475996,Brendan Shinnimin,C,ARI,1/7/1991,185,70,CAN,L,39,C
8466285,Brian Campbell,D,CHI,5/23/1979,192,70,CAN,L,51,D
8467856,Brian Rafalski,D,DET,9/28/1973,194,70,USA,R,28,D
8474436,Brock Trotter,L,MTL,1/16/1987,180,70,CAN,R,59,L
8474516,Bryan Lerg,C,S.J,1/20/1986,175,70,USA,L,11,C
8476827,Chad Billins,D,CGY,5/26/1989,180,70,USA,L,41,D
8469812,Chad LaRose,R,CAR,3/27/1982,181,70,USA,R,59,R
8476948,Charles Hudon,L,MTL,6/23/1994,196,70,CAN,L,54,L
8460562,Chris Drury,C,NYR,8/20/1976,191,70,USA,R,23,C
8474535,Chris Mueller,C,NYR,3/6/1986,196,70,USA,R,49,C
8458568,Chris Osgood,G,DET,11/26/1972,180,70,CAN,L,30,G
8474052,Chris Terry,L,MTL,4/7/1989,191,70,CAN,L,15,L
8475227,Chris Wideman,D,MTL,1/7/1990,183,70,USA,R,10,D
8477006,Christoph Bertschy,C,MIN,4/5/1994,185,70,CHE,R,22,C
8479343,Clayton Keller,R,ARI,7/29/1998,170,70,USA,L,9,C
8478367,Cole Bardreau,C,NYI,7/22/1993,185,70,USA,R,34,C
8476536,Colin Smith,C,COL,6/20/1993,185,70,CAN,R,37,C
8480980,Connor Dewar,C,MIN,6/26/1999,183,70,CAN,L,52,C
8470295,Connor James,L,PIT,8/25/1982,180,70,CAN,R,36,L
8478856,Conor Garland,R,VAN,3/11/1996,165,70,USA,R,83,R
8475414,Craig Cunningham,L,ARI,9/13/1990,184,70,CAN,R,22,L
8474095,Dana Tyrell,C,CBJ,4/23/1989,192,70,CAN,L,34,C
8476401,Daniel Catenacci,C,NYR,3/9/1993,193,70,CAN,L,43,C
8476982,Danny O'Regan,C,ANA,1/30/1994,180,70,USA,R,65,C
8459574,Darcy Tucker,R,COL,3/15/1975,178,70,CAN,L,16,R
8470189,David Van Der Gulik,L,L.A,4/20/1983,173,70,CAN,L,36,L
8462036,Daymond Langkow,C,ARI,9/27/1976,181,70,CAN,L,22,C
8478585,Derek Ryan,C,EDM,12/29/1986,185,70,USA,R,10,C
8474500,Derek Whitmore,L,BUF,12/17/1984,190,70,USA,L,71,L
8478857,Dmytro Timashov,L,NYI,10/1/1996,192,70,UKR,L,41,L
8479465,Drake Caggiula,C,PIT,6/20/1994,176,70,CAN,L,91,L
8470131,Dwight Helminen,C,S.J,6/22/1983,191,70,USA,L,36,C
8480009,Eeli Tolvanen,R,NSH,4/22/1999,191,70,FIN,L,11,R
8480073,Erik Brannstrom,D,OTT,9/2/1999,173,70,SWE,L,26,D
8475640,Erik Gustafsson,D,PHI,12/15/1988,180,70,SWE,L,26,D
8478542,Evan Rodrigues,C,COL,7/28/1993,176,70,CAN,R,71,L
8470578,Freddy Meyer,D,ATL,1/4/1981,185,70,USA,L,24,D
8475268,Gabriel Bourque,L,WPG,9/23/1990,206,70,CAN,L,57,L
8475254,Gabriel Dumont,C,MIN,10/6/1990,190,70,CAN,R,40,C
8480863,Gabriel Fortier,L,TBL,2/6/2000,173,70,CAN,L,82,L
8462823,Glen Metropolit,C,MTL,6/25/1974,196,70,CAN,R,15,C
8477445,Hunter Shinkaruk,C,CGY,10/13/1994,181,70,CAN,L,45,C
8470273,Ian White,D,DET,6/4/1984,191,70,CAN,R,18,D
8480276,Ivan Chekhovich,L,S.J,1/4/1999,185,70,RUS,L,82,L
8476806,J.T. Brown,R,MIN,7/2/1990,166,70,USA,R,23,R
8474519,Jack Hillen,D,CAR,1/24/1986,190,70,USA,L,38,D
8481559,Jack Hughes,C,NJD,5/14/2001,170,70,USA,L,86,C
8480056,Jack Rathbone,D,VAN,5/20/1999,177,70,USA,L,3,D
8480954,Jacob Nilsson,C,CHI,10/12/1993,180,70,SWE,L,67,C
8475768,Jaden Schwartz,C,SEA,6/25/1992,190,70,CAN,L,17,L
8471477,Jakub Petruzalek,C,CAR,4/24/1985,176,70,CZE,R,56,C
8472248,Jared Ross,C,PHI,9/18/1982,175,70,USA,L,42,C
8475917,Jason Akeson,R,PHI,6/3/1990,185,70,CAN,R,20,R
8467844,Jason Blake,L,ANA,9/2/1973,190,70,USA,L,33,L
